Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad
108472.0,13,SENIOR,Chico,3.8333333333333335,3.1666666666666665,4.25,3.8
1107000.2,16,SENIOR,Chico,3.0,3.0,3.0,3.0
1107156.0,16,SENIOR,Chico,4.0,4.333333333333333,4.25,3.8
1808307.0,13,SENIOR,Chico,4.166666666666667,4.166666666666667,3.25,4.6
2609571.0,16,SENIOR,Chico,3.6666666666666665,3.3333333333333335,2.5,4.0
2804143.0,17,SENIOR,Chico,4.833333333333333,4.666666666666667,4.25,3.8
2807679.0,15,SENIOR,Chico,5.0,4.333333333333333,3.5,4.8
108000.1,11,JUNIOR,Chica,4.666666666666667,5.0,3.25,4.2
303884.0,13,JUNIOR,Chico,4.166666666666667,3.3333333333333335,2.25,4.4
710515.0,13,JUNIOR,Chica,4.333333333333333,2.8333333333333335,2.75,4.8
1109806.0,12,JUNIOR,Chica,2.8333333333333335,3.1666666666666665,3.0,4.2
1508281.0,12,JUNIOR,Chico,5.0,5.0,4.5,4.8
1601778.0,13,JUNIOR,Chica,4.0,3.6666666666666665,4.25,4.0
1812000.1,11,JUNIOR,Chica,4.333333333333333,3.8333333333333335,3.25,3.4
2505000.0,12,JUNIOR,Chica,4.833333333333333,4.166666666666667,3.25,4.8
106843.0,15,SENIOR,Chica,4.333333333333333,4.333333333333333,4.5,3.6
201095.0,17,SENIOR,Chica,4.833333333333333,4.833333333333333,3.5,4.2
211655.0,16,SENIOR,Chico,4.833333333333333,3.6666666666666665,2.75,4.6
306636.0,15,SENIOR,Chico,5.0,5.0,5.0,4.8
401142.0,15,SENIOR,Chica,4.666666666666667,5.0,4.0,4.2
510488.0,14,SENIOR,Chica,4.833333333333333,5.0,3.75,4.2
611459.0,13,SENIOR,Chica,3.8333333333333335,3.3333333333333335,4.0,4.8
707996.0,17,SENIOR,Chica,4.666666666666667,5.0,3.0,4.4
806974.0,17,SENIOR,Chico,4.666666666666667,4.833333333333333,3.5,4.6
908167.0,14,SENIOR,Chica,4.833333333333333,4.833333333333333,3.75,4.0
1003516.0,15,SENIOR,Chica,4.0,4.5,4.0,4.0
1006955.0,15,SENIOR,Chica,4.333333333333333,5.0,4.5,4.8
1610000.0,13,SENIOR,Chico,4.0,3.6666666666666665,3.75,4.6
1704572.0,16,SENIOR,Chica,4.666666666666667,4.333333333333333,4.0,4.4
1706015.0,16,SENIOR,Chico,4.166666666666667,4.833333333333333,3.25,4.4
2108376.0,13,SENIOR,Chico,4.166666666666667,4.833333333333333,4.25,4.4
2210491.0,16,SENIOR,Chica,3.5,3.5,2.75,4.4
2310590.0,14,SENIOR,Chica,4.166666666666667,4.166666666666667,4.25,4.2
2312599.0,16,SENIOR,Chica,3.1666666666666665,3.3333333333333335,2.25,3.6
2605000.0,14,SENIOR,Chica,3.0,2.8333333333333335,3.0,3.0
2606000.0,14,SENIOR,Chico,4.666666666666667,5.0,5.0,5.0
2708654.0,14,SENIOR,Chico,4.333333333333333,3.5,4.75,4.6
2812778.0,15,SENIOR,Chico,3.0,1.8333333333333333,2.5,4.4
